dataset,delta,cal_picp,cal_mpiw,conf_picp,conf_mpiw
boston,0.03,0.8811881188118812,22.075849533081055,0.8529411764705882,22.46261978149414
concrete,-0.01,0.9223300970873787,52.2567138671875,0.912621359223301,51.27289581298828
concrete,-0.009,0.912621359223301,51.65659713745117,0.912621359223301,51.140018463134766
concrete,-0.008,0.9271844660194175,50.92546844482422,0.912621359223301,49.7752799987793
concrete,-0.007,0.9271844660194175,50.49290466308594,0.912621359223301,49.498966217041016
concrete,-0.006,0.9271844660194175,49.833614349365234,0.9029126213592233,48.57514953613281
concrete,-0.005,0.9320388349514563,49.02103042602539,0.8883495145631068,47.253597259521484
concrete,-0.004,0.9368932038834952,48.17501449584961,0.8737864077669902,45.84563064575195
concrete,-0.003,0.9271844660194175,47.15156555175781,0.883495145631068,45.445465087890625
concrete,-0.002,0.9271844660194175,46.72725296020508,0.883495145631068,44.924381256103516
concrete,-0.001,0.9223300970873787,46.20966339111328,0.8786407766990292,44.41023635864258
concrete,-0.0,0.9223300970873787,45.7613410949707,0.883495145631068,43.910133361816406
concrete,0.001,0.9223300970873787,45.398399353027344,0.8689320388349514,43.76714324951172
concrete,0.002,0.9174757281553398,44.76475143432617,0.8737864077669902,43.68409729003906
concrete,0.003,0.912621359223301,44.28703308105469,0.8786407766990292,43.73828125
concrete,0.004,0.9077669902912622,44.02131271362305,0.8786407766990292,43.53608703613281
concrete,0.005,0.912621359223301,43.35332489013672,0.8786407766990292,42.89713668823242
concrete,0.006,0.9029126213592233,43.15339660644531,0.883495145631068,43.02301025390625
concrete,0.007,0.8980582524271845,42.63690185546875,0.883495145631068,43.518287658691406
concrete,0.008,0.8883495145631068,42.22314453125,0.8786407766990292,42.506675720214844
concrete,0.009,0.8980582524271845,41.848060607910156,0.8786407766990292,42.65279769897461
concrete,0.01,0.8883495145631068,41.50107955932617,0.8786407766990292,42.340599060058594
concrete,0.011,0.8883495145631068,41.01109313964844,0.8786407766990292,42.75914001464844
concrete,0.012,0.883495145631068,40.82027053833008,0.8786407766990292,42.88032913208008
concrete,0.013,0.8786407766990292,40.425132751464844,0.8786407766990292,42.47406005859375
concrete,0.014,0.8737864077669902,40.1356315612793,0.8786407766990292,42.22008514404297
concrete,0.015,0.8737864077669902,39.788333892822266,0.883495145631068,42.12550735473633
concrete,0.016,0.8689320388349514,39.56819534301758,0.883495145631068,42.24298858642578
concrete,0.017,0.8689320388349514,39.284576416015625,0.883495145631068,41.8260612487793
concrete,0.018,0.8689320388349514,39.07579040527344,0.883495145631068,41.5140380859375
concrete,0.019,0.8592233009708737,38.77487564086914,0.883495145631068,40.91997528076172
concrete,0.02,0.8640776699029126,38.586097717285156,0.883495145631068,40.95265197753906
concrete,0.021,0.8640776699029126,38.34400177001953,0.8883495145631068,40.89371871948242
concrete,0.022,0.8543689320388349,37.73698043823242,0.883495145631068,40.42652893066406
concrete,0.023,0.8446601941747572,37.65678405761719,0.883495145631068,40.145259857177734
concrete,0.024,0.8543689320388349,37.59833908081055,0.8883495145631068,40.337852478027344
concrete,0.025,0.8495145631067961,37.38779067993164,0.8883495145631068,40.580657958984375
concrete,0.026,0.8446601941747572,36.98414611816406,0.8883495145631068,39.98514175415039
